10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Amon Shard CWeapon;Амун – осколок – оружие С;Amon Splitter C, Waffe;Arma de fragmento de Amon C;Amón - Esquirla - Arma C;Fragment d’Amon - Arme C;Amon - Frammento - Arma C;아몬 파편 C무기;Amon, Odłamek, CBroń;Amon - Estilhaço - ArmaC;Amon Shard CWeapon;亞蒙 - 晶體C - 武器
World Cleaver;Рассекатель миров;Weltenzertrümmerer;Creador de fisura del mundo;Hendidura global;Fendoir de monde;Squarciatore dei mondi;세계 절단기;Rozdzieracz światów;Cortador Planetário;裂世者;星球裂擊
Aiur Psi-Reactor;Пси-реактор Айура;Aiur - Psi-Reaktor;Reactor psi de Aiur;Aiur - Reactor psiónico;Réacteur psi d’Aïur;Reattore Psionico di Aiur;아이어 사이오닉 반응로;Reaktor psioniczny Aiur;Psi-Reator de Aiur;艾尔灵能反应器;艾爾幽能反應爐
Annihilator Stalker;Сталкер-аннигилятор;Unbeugsamer - Hetzer;Aniquilador: acechador;Aniquilador - Persecutor;Traqueur annihilateur;Persecutore Annientatore;말살자 추적자;Tropiciel anihilator;Tormento Aniquilador;歼灭追猎者;殲滅者 - 追獵者
ApocaliskAirAttackMissile;ApocaliskAirAttackMissile;Apokalisk - Luftabwehrraketen;Misil de ataque aéreo de apocalisco;ApocaliskAirAttackMissile;Apocalisk - Attaque aérienne - Projectile;Apocalisca - Attacco aereo - Missile;ApocaliskAirAttackMissile;ApokaliskAtakPowietrznyPocisk;ApocaliskAirAttackMissile;末日巨兽 对空攻击 发射物;雷神獸_對空攻擊_飛彈
Archangel Bombardment Fly-By;Орудие для бомбардировки класса «Архангел»;Erzengel - Bombardierung, Vorbeiflug;Vuelo de bombardeo de Arcángel;Arcángel - Bombardeo - Exhibición de vuelo;Bombardement en vol de l’Archange;Archangel - Bombardamento;대천사 저공 비행 폭격;Archanioł – Nalot bombowy;Voo de Bombardeio do Arcanjo;低空轰炸大天使;大天使 - 飛行轟炸
Archangel AA;«Архангел» – ПВО;Erzengel - Luftabwehr;Arcángel AA;Arcángel - AA;Archange AA;Archangel - AA;대천사 AA;Archanioł plot.;Arcanjo AA;大天使对空武器;大天使對空
Vault;Архив;Gewölbe;Cámara;Bóveda;Archives;Arca;보관실;Krypta;Cofre;密室;儲藏庫
Armored Generator;Бронированный генератор;Gepanzerter Generator;Generador blindado;Generador blindado;Générateur blindé;Generatore corazzato;중장갑 발전기;Opancerzony generator;Gerador Blindado;装甲发电机;裝甲發電機
Artanis Lightning Dash Missile;Артанис - молниеносный рывок - снаряд;Artanis - Blitzsprint, Geschoss;Misil de carrera de relámpagos de Artanis;Artanis - Embestida relámpago - Misil;Artanis - Sprint éclair - Missile;Artanis - Scatto fulmineo - Missile Scatto;아르타니스 번개 돌진 미사일;Artanis, Uderzenie Błyskawicy, Pocisk;Investida-relâmpago de Artanis - Míssil;Artanis Lightning Dash Missile;亞坦尼斯 - 電光突擊 - 飛彈
Artanis Void Ulnar Weapon;Артанис - оружие Пустоты - Ульнар;Artanis - Leere, Ulnar - Waffe;Arma de vacío de Ulnar de Artanis;Artanis - Vacío - Ulnar - Arma;Artanis - Vide - Ulnar - Arme;Artanis - Arma del Vuoto di Ulnar;아르타니스 공허 울나르 무기;Artanis Void Ulnar Broń;Arma do Vazio de Ulnar de Artanis;Artanis Void Ulnar Weapon;亞坦尼斯 - 虛空 - 奧納 - 武器
Artanis Void Weapon;Артанис - оружие Пустоты;Artanis - Leere, Waffe;Arma de vacío de Artanis;Artanis - Vacío - Arma;Arme du Vide d’Artanis;Artanis - Arma del Vuoto;아르타니스 공허 무기;Artanis Void Broń;Arma do Vazio de Artanis;Artanis Void Weapon;亞坦尼斯 - 虛空 - 武器
Keystone Platform;Платформа Ключа;Schlüsselstein-Sockel;Plataforma de la piedra;Piedra - Plataforma;Socle de la Clé;Piattaforma Stele Ancestrale;중추석 단상;Postument Ogniwa;Plataforma da Pedra Angular;钥石平台;星鑰石平台
Temple Door Key;Ключ от двери храма;Türschlüssel des Tempels;Llave de la puerta del templo;Llave del templo;Clé de la porte du temple;Chiave della porta del tempio;사원 문 열쇠;Klucz do wrót świątyni;Chave da Porta do Templo;神庙大门钥匙;神殿大門鑰匙
Artifact Pedestal;Пьедестал артефакта;Artefaktsockel;Pedestal de artefacto;Artefacto - Pedestal;Piédestal d’artéfact;Piedistallo artefatto;유물 받침대;Postument artefaktu;Pedestal do Artefato;神器基座;神器臺座
Artifact Vault;Хранилище артефакта;Artefaktgewölbe;Cámara del artefacto;Bóveda del Artefacto;Chambre de l’artéfact;Camera blindata dell'artefatto;유물 보관소;Krypta z artefaktem;Cofre do artefato;神器陈列室;神器寶庫
AscendantSacrificeWeapon1;AscendantSacrificeWeapon1;Aspirant - Opfern, Waffe 1;Arma 1 de sacrificio de ascendiente;AscendantSacrificeWeapon1;Aspirant - Sacrifice - Arme 1;Ascendente - Sacrificio - Arma 1;AscendantSacrificeWeapon1;WyniesionyPoświęcenieBroń1;AscendantSacrificeWeapon1;AscendantSacrificeWeapon1;飛升者獻祭武器1
AscendantSacrificeWeapon2;AscendantSacrificeWeapon2;Aspirant - Opfern, Waffe 2;Arma 2 de sacrificio de ascendiente;AscendantSacrificeWeapon2;Aspirant - Sacrifice - Arme 2;Ascendente - Sacrificio - Arma 2;AscendantSacrificeWeapon2;WyniesionyPoświęcenieBroń2;AscendantSacrificeWeapon2;AscendantSacrificeWeapon2;飛升者獻祭武器2
AscendantSacrificeWeapon3;AscendantSacrificeWeapon3;Aspirant - Opfern, Waffe 3;Arma 3 de sacrificio de ascendiente;AscendantSacrificeWeapon3;Aspirant - Sacrifice - Arme 3;Ascendente - Sacrificio - Arma 3;AscendantSacrificeWeapon3;WyniesionyPoświęcenieBroń3;AscendantSacrificeWeapon3;AscendantSacrificeWeapon3;飛升者獻祭武器3
Ash Worm;Пепельный червь;Aschenwurm;Gusano de ceniza;Gusano de ceniza;Ver de cendre;Verme delle ceneri;먼지 벌레;Czerw pyłowy;Verme das Cinzas;灰烬虫;燼蟲
Ancient Assimilator;Древний ассимилятор;Uralter Assimilator;Asimilador ancestral;Asimilador ancestral;Assimilateur antique;Assimilatore ancestrale;고대 융화소;Starożytny asymilator;Assimilador Ancestral;古代吸纳舱;古代瓦斯處理廠
Automated Extractor;Автоматический экстрактор;Automatisierter Extraktor;Extractor automatizado;Extractor automatizado;Extracteur automatisé;Estrattore automatizzato;자동 추출장;Autonomiczny ekstraktor;Extrator Automatizado;自动萃取房;自動化瓦斯萃取巢
Automated Refinery;Автоматический экстрактор;Automatisierte Raffinerie;Refinería automatizada;Refinería automatizada;Raffinerie automatisée;Raffineria automatizzata;자동 정제소;Zautomatyzowana rafineria;Refinaria automatizada;自动化精炼厂;自動化瓦斯精煉廠
Gate Control;Панель управления;Torsteuerung;Control de la puerta;Control del portal;Barrière de contrôle;Controllo della porta;관문 제어기;Sterownia bramy;Controle do Portal;大门控制器;閘門控制裝置
Ball of Death;Шар смерти;Kugel des Todes;Bola de la muerte;Bola de muerte;Sphère de mort;Sfera mortale;죽음의 공;Kula śmierci;Bola da Morte;死亡之球;死亡之球
Baneling Nest;Гнездо гиблингов;Berstlingnest;Nido de pesteling;Nido de Uetzis;Nid de chancres;Nido di Baneling;맹독충 둥지;Gniazdo tępicieli;Ninho de Tatu-bomba;爆虫巢穴;毒爆蟲卵群
Baneling Puddle;Гиблинг - лужа;Berstlingpfütze;Charco de pesteling;Charco de Uetzi;Flaque de chancre;Pozza di Baneling;맹독충 웅덩이;Tępiciel – Kałuża;Poça Tatu-bomba;爆虫泥潭;毒爆蟲池
Banshee Bombing Run;Бомбометание;Banshee - Bomberangriff;Bombardeo de átropos;Banshee - Bombardeo - Huída;Banshee - Raid aérien;Banshee - Bombardamento a tappeto;밴시 폭격 비행;Banshee, Nalot bombowy;Passagem de Bombardeio da Vudu;Banshee Bombing Run;女妖轟炸機 - 轟炸
Covert Banshee;Тактическая «Банши»;Tarnkappen-Banshee;Átropos encubierta;Banshee encubierta;Banshee furtive;Banshee occulta;비밀 밴시;Banshee z tajnych oddziałów;Vudu Camuflada;隐秘女妖;隱形女妖轟炸機
Banshee Black Ops Weapon;Элитная «Банши» – оружие;Backlash-Raketen;Arma de átropos de operación encubierta;Banshee - Operaciones secretas - Arma;Banshee furtive - Arme;Banshee - Operazioni segrete - Arma;밴시 기밀 작전 무기;Banshee z tajnych oddziałów, broń;Vudu - Operações Secretas - Arma;女妖黑色行动武器;秘密行動女妖轟炸機 - 武器
Exploding Machinery;Взрывающиеся механизмы;Explodierende Maschinerie;Maquinaria explosiva;Maquinaria defectuosa;Machinerie explosive;Macchinario esplosivo;폭발 중인 기계;Wybuchająca maszyneria;Maquinário Explosivo;爆炸装置;爆炸機械
Battlecruiser (Helios) Air;Крейсер (Гелиос) - воздушная атака;Schwerer Kreuzer (Helios) - Luft;Crucero de batalla (Helios) aire;Crucero de Batalla (Helios) - Aire;Cuirassé (Hélios) Air;Incrociatore (Helios) - aria;전투순양함 (헬리오스) 공중;Krążownik (Helios) – powietrze;Cruzador de batalha (Helios) - Aéreo;战列巡航舰(赫里奥斯号)空中;戰巡艦（赫利奧司）空中
Battlecruiser (Helios) Ground;Крейсер (Гелиос) - наземная атака;Schwerer Kreuzer (Helios) - Boden;Crucero de batalla (Helios) tierra;Crucero de Batalla (Helios) - Tierra;Cuirassé (Hélios) Sol;Incrociatore (Helios) - terra;전투순양함 (헬리오스) 지상;Krążownik (Helios) – ziemia;Cruzador de batalha (Helios) - Terrestre;战列巡航舰(赫里奥斯号)地面;戰巡艦（赫利奧司）地面
Battlecruiser (Loki);Крейсер (Локи);Schwerer Kreuzer (Loki);Crucero de batalla (Loki);Crucero de Batalla (Loki);Cuirassé (Loki);Incrociatore (Loki);전투순양함 (로키);Krążownik (Loki);Cruzador de batalha (Loki);战列巡航舰(火神号);戰巡艦（洛奇）
Battlecruiser Loki LMWeapon;Крейсер - «Локи» - LMОрудие;Schwerer Kreuzer - Loki, LM - Waffe;Arma de crucero de batalla Loki;Crucero de batalla - Loki - LM - Arma;Cuirassé (Loki) - Arme LM;Arma LM Incrociatore Loki;전투순양함 로키 경미사일 무기;Krążownik Loki LMBroń;Cruzador de batalha Loki LMArma;战列巡航舰 火神号 LM 武器;戰巡艦洛奇 - LM - 武器
Beach Girl;Туристка;Strandbesucherin;Chica de playa;Aficionada a la playa;Vacancière;Bagnante femmina;해변 소녀;Plażowiczka;Garota da Praia;沙滩女郎;海灘女孩
Beach Boy;Турист;Strandbesucher;Chico de playa;Aficionado a la playa;Vacancier;Bagnante;해변 소년;Plażowicz;Garoto da Praia;沙滩小子;海灘男孩
Tyrannozor Corpse;Труп тиранозора;Tyrannozor-Leiche;Cadáver de tiranozor;Cadáver de Tiranozor;Cadavre de tyrannozaure;Cadavere di Tyrannozor;티라노조르 시체;Zwłoki tyranozora;Corpo do Tiranozoide;恐惧虫尸体;暴虐獸屍體
Bile Launcher Zagara Missile;Споровое орудие – Загара – снаряд;Gallschleuder - Zagara, Geschoss;Cañón de bilis: misil de Zagara;Lanzador de bilis - Zagara - Misil;Lanceur de bile - Zagara - Missile;Lanciabile - Zagara - Missile;부패 주둥이 자가라 미사일;Miotacz żółci, Zagara, Pocisk;Lançador de Bile - Zagara - Projétil;Bile Launcher Zagara Missile;酸液砲 - 札迦拉 - 飛彈
Bio Discharge Missile;Выброс биомассы – снаряд;Bioentladung - Geschoss;Misil de biodescarga;Misil de biodescarga;Décharge organique - Projectile;Bioscarica - Missile;생체 방출 미사일;Bio-wystrzał, Pocisk;Míssil de Descarga Biológica;生物排泄 发射物;生化噴射飛彈
Command Bio-Dome;Биокупол командования;Haupt-Biodom;Biodomo de mando;Biodomo central;Biodôme de commandement;Biocupola di comando;생태관 기지;Dowództwo biokopuły;Biodomo de comando;指挥生态馆;生態指揮中心
Bio Plasmid Discharge;Биоплазмидный разряд;Bioplasmidentladung;Descarga de bioplasma;Descarga bioplásmida;Décharge bio-plasmide;Scarica di bioplasmidi;생체 플라스미드 방출;Wyładowanie bioplazmidowe;Descarga de bioplasmídeo;质粒喷涌;釋放生化電漿
Blackout Dummy Large;Модель потери памяти – крупная;Ohnmacht - Dummy, groß;Prueba de apagón grande;Apagón - Simulación - Grande;Panne - Leurre - Majeure;Simulazione blackout - Grande;정전 임시 큼;Zaciemnienie, Próbne, Małe;Dummy Apagão Grande;Blackout Dummy Large;燈火管制 - 模型 - 大型
Blackout Dummy Small;Модель потери памяти – малая;Ohnmacht - Dummy, klein;Prueba de apagón pequeño;Apagón - Simulación - Pequeño;Panne - Leurre - Mineure;Simulazione blackout - Piccola;정전 임시 작음;Zaciemnienie, Próbne, Duże;Dummy Apagão Pequeno;Blackout Dummy Small;燈火管制 - 模型 - 小型
Small Egg;Небольшое яйцо;Kleines Ei;Huevo pequeño;Huevo pequeño;Petit œuf;Uovo piccolo;작은 알;Male jajo;Ovo Pequeno;小型卵;小型蟲卵
Blightbringer Egg;Яйцо моровика;Pestbringer-Ei;Huevo de marchitador;Huevo de Portapeste;Œuf de contaminateur;Uovo di Portapiaga;역병전파자 알;Jajo nosiciela plagi;Ovo de Pestífero;疾疫传播体的卵;禍蟲蟲卵
Large Egg;Большое яйцо;Großes Ei;Huevo grande;Huevo grande;Gros œuf;Uovo grande;커다란 알;Duże jajo;Ovo Grande;大型卵;大型蟲卵
Blightbringer Large Egg;Большое яйцо моровика;Großes Pestbringer-Ei;Huevo grande de marchitador;Huevo grande de Portapeste;Gros œuf de contaminateur;Uovo di Portapiaga grande;역병전파자 커다란 알;Duże jajo nosiciela plagi;Ovo Grande de Pestífero;疾疫传播体的大型卵;禍蟲大型蟲卵
Blightbringer Vile Stream;Мерзкий поток моровика;Ätzender Pestbringerstrahl;Vómito vil de marchitador;Torrente vil de Portapeste;Contaminateur - Flux de bile;Portapiaga - Getto nauseante;역병전파자 불결한 체액;Żrący strumień nosiciela plagi;Fluxo Odioso de Pestífero;疾疫传播体的浊流;禍蟲汙穢之流
Block B;Блок Б;Block B;Bloque B;Pabellón B;L’Agence B;Blocco B;B 구역 용병대;Blok B;Bloco B;B区;B 集團
Dynamic Pathing Blocker 16x16;Динамическое заграждение 16x16;Dynamische Wegfindungsblockierung (16x16);Bloqueo de ruta dinámico 16x16;Bloqueador de ruta dinámico 16x16;Obstacle de trajectoire dynamique 16x16;Ostruzione dinamica percorso 16x16;동적 이동 경로 방해물 16x16;Dynamiczna blokada ścieżek 16x16;Bloqueador de trajetória dinâmica 16x16;动态路径障碍物(16x16);動態路徑阻擋物 16x16
Dynamic Pathing Blocker 4x4;Динамическое заграждение 4x4;Dynamische Wegfindungsblockierung (4x4);Bloqueo de ruta dinámico 4x4;Bloqueador de ruta dinámico 4x4;Obstacle de trajectoire dynamique 4x4;Ostruzione dinamica percorso 4x4;동적 이동 경로 방해물 4x4;Dynamiczna blokada ścieżek 4x4;Boqueador de trajetória dinâmica 4x4;动态路径障碍物(4x4);動態路徑障礙物 4x4
Dynamic Pathing Blocker 6x6;Динамическое заграждение 6x6;Dynamische Wegfindungsblockierung (6x6);Bloqueo de ruta dinámico 6x6;Bloqueador de ruta dinámico 6x6;Obstacle de trajectoire dynamique 6x6;Ostruzione dinamica percorso 6x6;동적 이동 경로 방해물 6x6;Dynamiczna blokada ścieżek 6x6;Boqueador de trajetória dinâmica 6x6;动态路径障碍物(6x6);動態路徑障礙物 6x6
Dynamic Pathing Blocker 8x8;Динамическое заграждение 8x8;Dynamische Wegfindungsblockierung (8x8);Bloqueo de ruta dinámico 8x8;Bloqueador de ruta dinámico 8x8;Obstacle de trajectoire dynamique 8x8;Ostruzione dinamica percorso 8x8;동적 이동 경로 방해물 8x8;Dynamiczna blokada ścieżek 8x8;Boqueador de trajetória dinâmica 8x8;动态路径障碍物(8x8);動態路徑障礙物 8x8
Brakk (Anti-Air);Бракк (противовоздушная атака);Brakk (Luftabwehr);Brakk (AA);Brakk (antiaéreo);Brakk (antiaérien);Brakk (antiaerea);브라크 (대공);Brakk (przeciwlotnicze);Brakk (Antiaéreo);巴拉克 对空;布拉克（對空）
Destructible Debris;Разрушаемый завал;Zerstörbare Trümmer;Escombros destructibles;Escombros destruibles;Débris destructibles;Detriti distruggibili;파괴 가능한 잔해;Zniszczalne szczątki;Escombros destrutíveis;可摧毁的残骸;可破壞的碎塊
Breaching Charge;Промышленная взрывчатка;Dampfhammer-Sprengsatz;Carga de apertura;Carga de traspaso;Charge détonante;Carica dirompente;해체 폭약;Ładunek kruszący;Carga de detonação;裂穿炸药;穿透炸藥
Dynamic Bridge Blocker 4x12;Динамическое заграждение на мосту 4x12;Dynamische Brückenblockierung 4x12;Bloqueo de puente dinámico 4x12;Bloqueador de puentes dinámico 4x12;Obstacle de pont 4x12 dynamique;Ostruzione dinamica percorso (4x12);동적 다리 방해물 4x12;Dynamiczna blokada mostu 4x12;Bloqueador de ponte dinâmica 4x12;动态桥梁障碍物4x12;動態艦橋障礙物4x12
